Iter,Config,Kernel,Extractor,Mode,Level,Sample_ID,Label,Predicted,Cause,Failed_Model,Active_Features,Suggestion
1,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],2.0,34,circle,vertical,M1 (Missed Circle),M1,"['linearity_shape', 'ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Baseline][M1] Add 'pca_z_clean', [Baseline][M1] Add 'clean_range_Y', [Baseline][M1] Add 'dwt_energy_detail'"
1,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],2.0,35,circle,vertical,M1 (Missed Circle),M1,"['linearity_shape', 'ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Baseline][M1] Add 'pca_z_clean', [Baseline][M1] Add 'clean_range_Y', [Baseline][M1] Add 'dwt_energy_detail'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DRIFT'],2.0,34,circle,vertical,M1 (Missed Circle),M1,"['linearity_shape', 'ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Add 'Y_iqr', [Experimental_Update][M1] Add 'pca_z_clean', [Experimental_Update][M1] Add 'clean_range_Y'"
1,Experimental_Update,linear,feature_extractor,['LINEAR_DRIFT'],2.0,35,circle,diagonal_right,M1 (Missed Circle),M1,"['linearity_shape', 'ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Add 'Y_iqr', [Experimental_Update][M1] Remove 'xy_area_resid', [Experimental_Update][M1] Add 'pca_z_clean'"
2,Experimental_Update,linear,feature_extractor,['LINEAR_DRIFT'],2.0,52,horizontal,diagonal_left,M2 (Missed Horiz),M2,"['clean_range_X', 'clean_range_Y', 'clean_range_Z', 'apex_vec_z', 'pca_z_clean']","[Experimental_Update][M2] Add 'start_y_rel', [Experimental_Update][M2] Remove 'pca_z_clean', [Experimental_Update][M2] Add 'ideal_length_pc1'"
3,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],2.0,0,circle,diagonal_left,M1 (Missed Circle),M1,"['linearity_shape', 'ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Baseline][M1] Remove 'radius_ratio_resid', [Baseline][M1] Add 'clean_range_Y', [Baseline][M1] Add 'apex_vec_x'"
3,Experimental_Update,linear,feature_extractor,['LINEAR_DRIFT'],2.0,0,circle,diagonal_left,M1 (Missed Circle),M1,"['linearity_shape', 'ratio_pca_resid', 'xy_area_resid', 'corr_xy_clean', 'radius_ratio_resid', 'helix_thickness', 'deviation_max']","[Experimental_Update][M1] Add 'apex_vec_x', [Experimental_Update][M1] Add 'Y_iqr', [Experimental_Update][M1] Remove 'xy_area_resid'"
4,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],2.0,49,diagonal_right,vertical,M3 (False Vert),M3,"['clean_range_X', 'clean_range_Y', 'clean_range_Z', 'apex_vec_x', 'apex_vec_y', 'apex_vec_z', 'pca_z_clean']","[Baseline][M3] Add 'linearity_shape', [Baseline][M3] Add 'pca_1_z', [Baseline][M3] Add 'X_iqr'"
5,Baseline,linear,feature_extractor,['LINEAR_DRIFT'],2.0,44,diagonal_left,vertical,M3 (False Vert),M3,"['clean_range_X', 'clean_range_Y', 'clean_range_Z', 'apex_vec_x', 'apex_vec_y', 'apex_vec_z', 'pca_z_clean']","[Baseline][M3] Remove 'clean_range_Z', [Baseline][M3] Add 'dwt_energy_detail', [Baseline][M3] Remove 'apex_vec_x'"
5,Experimental_Update,linear,feature_extractor,['LINEAR_DRIFT'],1.0,44,diagonal_left,vertical,M3 (False Vert),M3,"['clean_range_X', 'clean_range_Y', 'clean_range_Z', 'apex_vec_z', 'pca_z_clean']","[Experimental_Update][M3] Remove 'apex_vec_z', [Experimental_Update][M3] Remove 'pca_z_clean', [Experimental_Update][M3] Add 'linearity_shape'"
