Iter,Config,Kernel,Mode,Level,Sample_ID,Label,Predicted,Cause,Failed_Model,Active_Features,Suggestion
1,Baseline,linear,LINEAR_DRIFT,1.0,35,circle,diagonal_right,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Baseline][M1] Add 'range_Y', [Baseline][M1] Add 'Y_iqr', [Baseline][M1] Remove 'deviation_max'"
1,Baseline,linear,LINEAR_DRIFT,1.0,38,circle,diagonal_right,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Baseline][M1] Remove 'corr_xy', [Baseline][M1] Add 'pca_z', [Baseline][M1] Remove 'deviation_max'"
1,Baseline,linear,LINEAR_DRIFT,1.0,41,circle,vertical,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']",[Baseline][M1] Remove 'deviation_max'
1,Baseline,linear,LINEAR_DRIFT,2.0,34,circle,horizontal,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Baseline][M1] Remove 'corr_xy', [Baseline][M1] Remove 'deviation_max'"
1,Baseline,linear,LINEAR_DRIFT,2.0,35,circle,horizontal,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']",No simple fix found
1,Baseline,linear,LINEAR_DRIFT,2.0,36,circle,vertical,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']",No simple fix found
1,Baseline,linear,LINEAR_DRIFT,2.0,37,circle,diagonal_right,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Baseline][M1] Remove 'ratio_pca', [Baseline][M1] Remove 'line_fit_rmse'"
1,Baseline,linear,LINEAR_DRIFT,2.0,38,circle,diagonal_right,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']",[Baseline][M1] Remove 'corr_xy'
1,Baseline,linear,LINEAR_DRIFT,2.0,39,circle,vertical,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Baseline][M1] Add 'range_X', [Baseline][M1] Remove 'ratio_pca', [Baseline][M1] Add 'apex_vec_z'"
1,Baseline,linear,LINEAR_DRIFT,2.0,40,circle,diagonal_left,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Baseline][M1] Remove 'corr_xy', [Baseline][M1] Remove 'ratio_pca'"
1,Baseline,linear,LINEAR_DRIFT,2.0,41,circle,diagonal_right,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']",No simple fix found
1,Baseline,linear,LINEAR_DRIFT,2.0,43,diagonal_left,diagonal_right,M4 (L->R Fail),M4,"['apex_vec_x', 'apex_vec_y']","[Baseline][M4] Add 'efficiency', [Baseline][M4] Add 'Z_iqr', [Baseline][M4] Remove 'apex_vec_y'"
1,Baseline,linear,LINEAR_DRIFT,2.0,44,diagonal_left,diagonal_right,M4 (L->R Fail),M4,"['apex_vec_x', 'apex_vec_y']",No simple fix found
1,Baseline,linear,LINEAR_DRIFT,2.0,47,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['apex_vec_x', 'apex_vec_y']","[Baseline][M4] Add 'range_Z', [Baseline][M4] Add 'ratio_pca', [Baseline][M4] Add 'jerk_smooth'"
1,Baseline,linear,LINEAR_DRIFT,2.0,48,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['apex_vec_x', 'apex_vec_y']","[Baseline][M4] Remove 'apex_vec_y', [Baseline][M4] Add 'ratio_pca'"
1,Baseline,linear,LINEAR_DRIFT,2.0,49,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['apex_vec_x', 'apex_vec_y']",[Baseline][M4] Remove 'apex_vec_y'
1,Baseline,linear,LINEAR_DRIFT,2.0,50,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['apex_vec_x', 'apex_vec_y']","[Baseline][M4] Remove 'apex_vec_y', [Baseline][M4] Add 'ratio_pca'"
1,Baseline,linear,LINEAR_DRIFT,2.0,51,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['apex_vec_x', 'apex_vec_y']",[Baseline][M4] Remove 'apex_vec_y'
1,Baseline,linear,LINEAR_DRIFT,2.0,57,vertical,diagonal_right,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'pca_z']","[Baseline][M3] Add 'line_fit_rmse', [Baseline][M3] Add 'ratio_pca', [Baseline][M3] Remove 'range_Y'"
1,Baseline,linear,LINEAR_DRIFT,2.0,58,vertical,diagonal_left,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'pca_z']","[Baseline][M3] Add 'xy_area', [Baseline][M3] Add 'ratio_pca', [Baseline][M3] Remove 'Z_iqr'"
1,Experimental_V1,linear,LINEAR_DRIFT,0.5,41,circle,vertical,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Experimental_V1][M1] Add 'Y_iqr', [Experimental_V1][M1] Remove 'radius_ratio', [Experimental_V1][M1] Add 'pca_z'"
1,Experimental_V1,linear,LINEAR_DRIFT,1.0,34,circle,vertical,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']",No simple fix found
1,Experimental_V1,linear,LINEAR_DRIFT,1.0,36,circle,vertical,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Experimental_V1][M1] Remove 'ratio_pca', [Experimental_V1][M1] Add 'Y_iqr', [Experimental_V1][M1] Add 'pca_z'"
1,Experimental_V1,linear,LINEAR_DRIFT,1.0,41,circle,vertical,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Experimental_V1][M1] Remove 'radius_ratio', [Experimental_V1][M1] Remove 'deviation_max'"
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,34,circle,diagonal_right,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']",No simple fix found
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,35,circle,vertical,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Experimental_V1][M1] Add 'Y_iqr', [Experimental_V1][M1] Remove 'radius_ratio', [Experimental_V1][M1] Add 'range_Y'"
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,36,circle,diagonal_right,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Experimental_V1][M1] Add 'Y_iqr', [Experimental_V1][M1] Remove 'radius_ratio', [Experimental_V1][M1] Add 'pca_z'"
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,37,circle,diagonal_left,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']",No simple fix found
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,38,circle,diagonal_right,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']",No simple fix found
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,39,circle,vertical,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Experimental_V1][M1] Remove 'ratio_pca', [Experimental_V1][M1] Add 'range_X', [Experimental_V1][M1] Remove 'line_fit_rmse'"
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,41,circle,horizontal,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Experimental_V1][M1] Remove 'ratio_pca', [Experimental_V1][M1] Remove 'line_fit_rmse', [Experimental_V1][M1] Remove 'corr_xy'"
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,43,diagonal_left,horizontal,M2 (False Horiz),M2,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'apex_vec_z', 'pca_z']",No simple fix found
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,44,diagonal_left,diagonal_right,M4 (L->R Fail),M4,"['corr_xy', 'apex_vec_x', 'apex_vec_y']",[Experimental_V1][M4] Add 'apex_vec_z'
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,47,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['corr_xy', 'apex_vec_x', 'apex_vec_y']",[Experimental_V1][M4] Add 'efficiency'
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,48,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['corr_xy', 'apex_vec_x', 'apex_vec_y']","[Experimental_V1][M4] Add 'ratio_pca', [Experimental_V1][M4] Add 'range_X', [Experimental_V1][M4] Remove 'apex_vec_y'"
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,49,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['corr_xy', 'apex_vec_x', 'apex_vec_y']",[Experimental_V1][M4] Add 'efficiency'
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,50,diagonal_right,horizontal,M2 (False Horiz),M2,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'apex_vec_z', 'pca_z']",[Experimental_V1][M2] Remove 'range_X'
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,51,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['corr_xy', 'apex_vec_x', 'apex_vec_y']",No simple fix found
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,57,vertical,diagonal_right,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'apex_vec_z', 'pca_z']","[Experimental_V1][M3] Remove 'range_Y', [Experimental_V1][M3] Add 'ratio_pca', [Experimental_V1][M3] Add 'line_fit_rmse'"
1,Experimental_V1,linear,LINEAR_DRIFT,2.0,58,vertical,diagonal_right,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'apex_vec_z', 'pca_z']","[Experimental_V1][M3] Add 'line_fit_rmse', [Experimental_V1][M3] Add 'apex_vec_y', [Experimental_V1][M3] Remove 'range_Z'"
2,Baseline,linear,LINEAR_DRIFT,2.0,43,diagonal_left,horizontal,M2 (False Horiz),M2,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'pca_z']","[Baseline][M2] Add 'slope_xy', [Baseline][M2] Remove 'range_Y', [Baseline][M2] Add 'apex_vec_x'"
2,Baseline,linear,LINEAR_DRIFT,2.0,19,diagonal_right,circle,M1 (False Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Baseline][M1] Remove 'corr_xy', [Baseline][M1] Add 'range_X', [Baseline][M1] Add 'range_Y'"
2,Baseline,linear,LINEAR_DRIFT,2.0,8,diagonal_left,diagonal_right,M4 (L->R Fail),M4,"['apex_vec_x', 'apex_vec_y']","[Baseline][M4] Remove 'apex_vec_y', [Baseline][M4] Add 'ratio_pca'"
2,Baseline,linear,LINEAR_DRIFT,2.0,21,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['apex_vec_x', 'apex_vec_y']","[Baseline][M4] Add 'jerk_smooth', [Baseline][M4] Add 'xy_area', [Baseline][M4] Add 'Y_iqr'"
2,Baseline,linear,LINEAR_DRIFT,2.0,14,diagonal_left,diagonal_right,M4 (L->R Fail),M4,"['apex_vec_x', 'apex_vec_y']",[Baseline][M4] Add 'ratio_pca'
2,Baseline,linear,LINEAR_DRIFT,2.0,41,circle,vertical,M1 (Missed Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Baseline][M1] Add 'pca_z', [Baseline][M1] Remove 'ratio_pca', [Baseline][M1] Add 'jerk_smooth'"
2,Baseline,linear,LINEAR_DRIFT,2.0,12,diagonal_left,circle,M1 (False Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Baseline][M1] Remove 'ratio_pca', [Baseline][M1] Add 'apex_vec_x'"
2,Baseline,linear,LINEAR_DRIFT,2.0,10,diagonal_left,horizontal,M2 (False Horiz),M2,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'pca_z']","[Baseline][M2] Add 'corr_xy', [Baseline][M2] Remove 'range_X', [Baseline][M2] Add 'apex_vec_x'"
2,Baseline,linear,LINEAR_DRIFT,2.0,32,vertical,diagonal_right,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'pca_z']","[Baseline][M3] Add 'xy_area', [Baseline][M3] Add 'ratio_pca', [Baseline][M3] Remove 'Z_iqr'"
2,Baseline,linear,LINEAR_DRIFT,2.0,49,diagonal_right,circle,M1 (False Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']","[Baseline][M1] Remove 'ratio_pca', [Baseline][M1] Remove 'xy_area'"
2,Baseline,linear,LINEAR_DRIFT,2.0,59,vertical,diagonal_right,M3 (Missed Vert),M3,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'pca_z']","[Baseline][M3] Remove 'range_Y', [Baseline][M3] Add 'ratio_pca'"
2,Baseline,linear,LINEAR_DRIFT,2.0,58,vertical,circle,M1 (False Circle),M1,"['efficiency', 'ratio_pca', 'xy_area', 'corr_xy', 'radius_ratio', 'line_fit_rmse', 'deviation_max']",No simple fix found
2,Experimental_V1,linear,LINEAR_DRIFT,2.0,43,diagonal_left,horizontal,M2 (False Horiz),M2,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'apex_vec_z', 'pca_z']","[Experimental_V1][M2] Add 'corr_xy', [Experimental_V1][M2] Remove 'range_Y', [Experimental_V1][M2] Remove 'range_X'"
2,Experimental_V1,linear,LINEAR_DRIFT,2.0,19,diagonal_right,diagonal_left,M4 (R->L Fail),M4,"['corr_xy', 'apex_vec_x', 'apex_vec_y']",No simple fix found
2,Experimental_V1,linear,LINEAR_DRIFT,2.0,8,diagonal_left,diagonal_right,M4 (L->R Fail),M4,"['corr_xy', 'apex_vec_x', 'apex_vec_y']",[Experimental_V1][M4] Add 'efficiency'
2,Experimental_V1,linear,LINEAR_DRIFT,2.0,21,diagonal_right,horizontal,M2 (False Horiz),M2,"['Y_iqr', 'Z_iqr', 'range_X', 'range_Y', 'range_Z', 'apex_vec_z', 'pca_z']","[Experimental_V1][M2] Remove 'apex_vec_z', [Experimental_V1][M2] Add 'apex_vec_x', [Experimental_V1][M2] Remove 'range_X'"
